site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock,
cokizlenen.xyz,6,-6,25,4,0,0,0,0,0,0,0,2,0,0,FALSE,
comandofilmes.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
cookiesflix.com,-3,-7,10,0,0,0,0,1,0,-1,0,6,1,0,TRUE,
coolsoft.altervista.org,11,51,44,6,0,0,0,1,0,0,0,7,1,0,FALSE,
crash-aerien.news/forum,-1,-10,10,-6,0,0,0,-1,0,0,0,3,1,0,TRUE,
crybit.com,0,0,8,0,0,0,0,0,0,0,0,1,0,0,FALSE,
csnne.com,0,0,-2,-2,0,0,0,0,0,0,0,0,1,0,TRUE,
curs.io,0,0,1,1,0,0,0,0,0,0,0,0,1,0,FALSE,
cutwin.com,0,0,1,1,0,0,0,0,0,0,0,0,1,0,FALSE,
cwseed.com,2,91,5,0,0,0,0,0,0,0,0,1,1,0,FALSE,
cwtv.com,0,0,2,0,0,0,0,0,0,0,0,1,0,0,FALSE,
czechhq.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
dailytelegraph.com.au,0,1,6,0,0,0,0,0,0,0,0,2,1,0,FALSE,
dailyuploads.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
ddlfr.pw,14,1143,118,78,0,0,0,7,0,0,25,0,0,0,FALSE,
ddlfr.pw/ebook/presse-journaux-magazine,14,1143,118,78,0,0,0,7,0,0,25,0,0,0,FALSE,
ddmix.net,5,1216,56,42,0,0,0,4,0,0,7,1,0,0,FALSE,
debridnet.com,3,7,13,3,0,0,0,0,0,0,1,2,0,0,FALSE,
demorgen.be,5,207,18,3,0,1,0,1,0,0,1,3,0,0,FALSE,
deportesmax.info,-4,-43,-16,1,0,0,0,-1,-1,0,-1,0,1,0,FALSE,
der-postillon.com,-6,-408,-10,-8,0,0,0,1,0,0,-1,1,1,0,TRUE,
derstandard.at,-10,-281,17,5,0,0,0,9,-2,0,-1,10,0,0,TRUE,
derstandard.at/2000062904782/wiener-linien-daten-ab-sofort-in-google-maps-integriert,0,0,23,8,0,0,0,6,0,0,0,6,0,0,FALSE,
desatcabletntsof.blogspot.com,0,0,19,0,0,0,0,0,0,0,0,4,0,0,FALSE,
di.se,-66,-266,-410,-42,-36,0,0,-26,0,0,-42,1,1,0,FALSE,
diariodemallorca.es,1860,7895,5213,1443,1,39,118,255,16,174,852,34,1,0,TRUE,
diffnow.com,4,2,-1,0,0,0,0,0,0,0,2,0,1,0,FALSE,
digitalpoint.com,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
dir50.com,66,362,221,27,0,1,-1,0,6,-2,58,0,1,0,TRUE,
dir50.net/28cq688vblcf,106,663,335,38,0,1,-1,1,4,8,66,4,1,0,TRUE,
discoveryrom.org,-1,-5,1,-5,0,0,0,0,0,0,0,1,0,0,TRUE,
divyabhaskar.co.in,30,253,106,14,0,0,0,3,0,0,2,5,0,0,FALSE,
dl-protecte.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
doulci.net,-3,-33,14,-1,-1,0,0,0,0,-4,-2,7,1,0,TRUE,
down2hub.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
downloads4djs.co.in,31,212,204,33,0,11,3,20,0,14,59,3,1,0,TRUE,
dramafever.com,0,0,24,3,0,0,0,18,0,0,0,2,1,0,FALSE,
dreamfancy.org,-5,-10,-9,-4,0,0,-1,0,0,0,0,0,1,0,TRUE,
drudgereport.com,-42,-4914,-141,-50,0,0,0,2,0,0,-30,17,1,0,FALSE,
dupedornot.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
dvbtmap.eu,29,290,88,16,0,0,7,7,0,8,21,3,1,0,TRUE,
dvdcover.com,-7,-79,4,-1,-1,0,0,1,0,-4,-1,2,1,0,TRUE,
ebookdz.com/index.php,12,205,98,16,0,0,0,15,0,0,1,13,1,0,TRUE,
economictimes.indiatimes.com,1,1,35,3,0,0,0,0,0,0,0,4,0,0,FALSE,
elcorreo.com,-4,-24,-14,-23,0,0,0,-1,0,-1,-2,-7,0,0,TRUE,
elde.me,331,2106,1297,455,20,11,13,59,0,63,104,0,0,1,FALSE,
e-mete.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
endocrineweb.com,0,0,12,0,0,0,0,1,0,0,0,2,0,0,FALSE,
engageme.tv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
espn.com,22,62,126,37,2,1,0,8,0,1,7,5,1,0,FALSE,
eurogamer.de,-12,-756,-18,-12,0,0,0,-1,0,-2,1,1,1,0,TRUE,
eusouandroid.co,418,12913,1335,411,2,0,34,70,0,0,417,3,1,0,FALSE,
exame.abril.com.br,0,0,28,4,0,0,0,3,0,0,0,4,1,0,FALSE,
expansion.com,0,0,13,0,0,0,0,0,0,0,0,6,0,0,FALSE,
exrapidleech.info,1,2,7,3,0,0,0,2,0,0,0,2,0,0,TRUE,*****
