lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-20,-129,-39,-14,0,0,-2,0,0,-3,-12,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
2,71,7,0,0,0,0,0,0,0,0,2,0,0,?
2,549,67,23,0,0,0,8,0,13,6,5,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
1,8,2,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,1,1,0,?
5,-215,32,18,0,0,0,0,0,0,3,9,0,0,?
2,8,0,-2,0,0,0,0,0,0,0,0,0,0,?
5,-295,36,20,0,0,0,0,0,0,3,11,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,28,11,0,0,0,7,0,0,1,7,1,0,?
0,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,-2,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-5,-75,10,4,0,0,1,1,0,0,2,7,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-8,10,1,0,0,0,6,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
24,169,19,12,0,0,0,0,0,0,0,0,0,0,?
0,0,19,9,0,0,0,0,0,0,0,3,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
2,13,15,1,0,0,0,6,0,0,0,1,0,0,?
3,32,11,1,0,0,0,0,0,0,1,1,0,0,?
-1,-60,13,2,0,0,0,1,0,0,1,4,0,0,?
28,107,89,10,0,0,0,0,0,0,0,12,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,1,1,0,?
168,2414,1012,524,1,-2,-4,38,0,17,190,10,1,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
3,65,81,40,0,0,0,0,0,0,0,15,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,2,16,0,0,0,0,0,0,0,0,5,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,41,8,0,0,0,17,0,0,3,2,0,0,?
0,0,30,16,0,0,0,7,0,0,3,2,0,0,?
0,0,11,0,0,0,0,0,0,0,0,4,0,0,?
1,1,7,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,1,1,0,?
12,534,34,16,0,0,2,2,0,4,4,1,0,1,?
0,0,-1,0,0,0,0,0,0,0,0,1,1,0,?
3,17,37,2,0,0,0,0,0,0,0,9,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
3,73,11,2,0,0,0,0,0,0,0,3,0,0,?
1,1,26,17,0,0,0,0,0,0,0,4,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,12,5,0,0,0,0,0,0,0,2,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
8,494,68,14,0,0,0,11,0,0,0,18,0,0,?
1,3,4,3,0,0,0,0,0,0,0,2,1,0,?
1,1,33,10,0,0,0,0,0,0,0,3,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
5,168,9,0,0,0,0,0,0,0,0,3,1,0,?
-8,-61,63,-10,0,0,-1,-1,0,-1,-2,4,1,0,?
-2,-68,19,5,0,0,0,2,0,1,3,6,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,1,0,0,?
-1,-4,30,4,0,0,0,0,0,0,0,6,0,0,?
0,-6,28,11,0,0,0,7,0,0,1,7,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-3,25,8,0,0,0,0,0,0,0,6,0,0,?
0,-10,18,9,0,0,0,0,0,0,0,2,1,0,?
1,3,22,0,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-4,28,11,0,0,0,7,0,0,1,7,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
3,19,21,7,0,0,0,0,0,0,0,3,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-4,28,11,0,0,0,7,0,0,1,7,1,0,?
-3,-6,0,0,0,0,0,0,0,0,0,0,0,0,?
5,10,37,10,0,0,0,0,0,0,0,6,0,0,?
0,0,-2,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,1,0,0,?
8,23,66,31,0,0,1,2,0,8,3,15,0,0,?
0,0,1,0,0,0,0,4,0,0,0,1,1,0,?
-7,-25,-6,0,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
3,11,3,1,0,0,0,0,0,0,0,1,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
3,32,13,1,0,0,0,0,0,0,1,2,0,0,?
1,1,1,0,0,0,0,0,0,0,1,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,-8,0,0,0,0,0,0,0,0,1,1,0,?
0,0,19,0,0,0,0,0,0,0,0,7,0,0,?
